City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt,WP,Rank
Changsha,0.9871484354758047,0.9483382434939138,0.957753411870866,0.9479976178347472,0.8618579631678052,0.978862414570336,0.9856840056770267,0.9604783923357607,0.9848570346166179,0.9616674564880089,0.9838225665384257,0.9996377457746418,0.9667910371469324,0.7906363544610719,0.7092437832573616,28.04955292541864,13.0
Guangzhou,0.9935254877975973,0.9254414017369023,0.9397666409394552,0.9767998855948853,0.9111067615033197,0.971900985093896,0.9560938050184163,0.9792261204555635,0.9818443774136145,0.9821049991016187,0.994286787534828,0.9976467816219895,0.9560802601748132,0.8002908080598804,0.7552226376649046,28.242675479423365,5.0
Shenzhen,0.9915819070554394,0.9616568742915103,0.9379793085580121,0.9566283856763436,0.9258591010971701,0.0,0.9548340566250545,0.9792261204555635,0.9838533518894174,0.9995371420719298,0.999811630197365,0.9933567978532201,0.9667910371469324,1.0,0.8432558888141997,26.98874320346432,29.0
Nanning,0.9983169549920464,0.945733664315778,0.9889426286450999,0.9504763137817338,0.9391557186864193,0.9882665538186018,0.8887921734647913,0.9410138230415929,0.9983699600737257,0.9850610441754685,0.995727499125312,0.9243037431733175,0.9618772806437699,0.7072639335289258,0.67324872909235,27.773100041117868,25.0
Guilin,0.983985663726229,0.9689795447593079,0.9322113066823798,0.961514809590532,0.9039996186062319,0.9884917217030912,0.0,0.9012504626108302,0.9876595529216573,0.9716317017173431,0.9835818849933382,0.9696476793274619,0.964229618785342,0.7039111970484038,0.6953216840863171,25.83283289311693,37.0
Haikou,0.9859139959872796,0.9504246780119849,0.9848789241167281,0.9952157145469834,0.9165689895656467,1.0,0.9475788237858336,0.9987349105020502,0.9952851100677337,0.9990710465896547,1.0,0.9915352942278535,0.9667910371469324,0.6916646436973563,0.6777114355933707,28.20274920767882,8.0
Chongqing,0.9970656280999359,0.952329234811735,0.9469586000722907,0.9243432027166057,0.9087350964636176,0.9976625203132782,0.9449989799870345,0.9258692508908523,0.9960102385771544,0.9701953722948894,0.9825328966463444,0.9842756969759705,0.9662280615424842,0.0,0.5938909294220971,26.182191417628577,31.0
Chengdu,1.0,0.924277229010654,0.9847620175680878,0.9481014189033469,0.7824530808635103,0.9843552744291015,0.942613116686068,0.9597041084544683,0.9677897390860437,0.9582624154364566,0.9974160708950076,0.9954513958776522,0.9667910371469324,0.8009500828421473,1.0,28.42585397439895,2.0
Guiyang,0.9898441069239297,0.9853242803727887,1.0,0.9704180301111239,0.906823156702531,0.9920356729297891,0.9374664812541191,0.9478850203959591,0.993168049417682,0.9876122774979559,0.9013873566167439,0.990709346772165,0.9665289271977909,0.7380887917902592,0.7301869501376671,28.07495689624101,12.0
Zunyi,0.9657864627950938,0.9575634123996747,0.9337893120207184,0.954288691680647,0.0,0.9943359973432239,0.9457694812996108,0.9623637727564526,0.9957452834851129,0.9818019264317067,0.994135573349095,0.9613650852971481,0.9496635915730627,0.6556321770109651,0.7283937848522475,25.96126910458952,36.0
Kunming,0.0,0.9083081895532434,0.9998076501943141,0.9547884530065849,0.9111067615033197,0.9936065650649074,0.9817189751321606,0.9770521209527687,0.9966221731695911,1.0,0.0,0.9792784421129841,0.9667910371469324,0.8012783010074623,0.7323273044159977,24.405371946520532,38.0
Xi’an,0.988927992039528,0.9281744459315215,0.9793153269991615,0.9496045784086021,0.9157005894147888,0.9940830112412539,0.9750424313274649,0.9330329915368074,0.9841775054450971,0.9353402071278761,0.992015008455407,0.9853212521575812,0.9617238189345647,0.7476610859672276,0.7267715153336627,27.993783520641088,15.0
Lanzhou,0.9475963013936405,0.9584610376009116,0.9733043209137027,0.9673465507595658,0.8633571157505726,0.9936397699841876,0.9530949005029049,0.9797555801130351,0.9863770206518189,0.9705574541173512,0.9984576548461584,0.9603458123988772,0.0,0.7275595578477121,0.755154951651718,26.07001605706431,34.0
Urumqi,0.9814009705052484,0.9681507411537692,0.9566026541591744,0.9699284366090972,0.8940110634273469,0.9925557907571824,0.9696530375633886,0.9210045726811029,1.0,0.9518280273066841,0.9934070893282845,0.9550624640365282,0.9608608554121264,0.7857826061512817,0.7716298315228187,28.14375628122807,10.0
