City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt,SAW,Rank
Nanning,0.9734085414987914,0.4095449500554939,0.8370233295882624,0.4436707286744592,0.2849391647484381,0.7897360319411625,0.09462468193384244,0.2964285714285713,0.9678991338178522,0.7859778597785978,0.9337874227783935,0.28381502890173393,0.5369262915195621,0.06261120996441281,0.042208929529484684,0.46004353117993646,21.0
Guilin,0.7723609991941983,0.6039955604883464,0.3252594012292644,0.5336980850534694,0.1328510358434726,0.7933425207869088,0.0,0.12499999999999988,0.7800911917843513,0.6309963099630996,0.7673055599556471,0.610693641618497,0.5583255277757765,0.060275800711743766,0.05463691719493074,0.40609301998896463,38.0
Haikou,0.7969379532634971,0.4432852386237514,0.7836560703192123,0.9261377766724695,0.1751068727392306,1.0,0.34064885496183217,0.975,0.9098088088148064,0.985239852398524,1.0,0.8728323699421964,0.5825347647525038,0.05237989323843417,0.04449984633896063,0.5815521958962275,3.0
Chongqing,0.9540692989524576,0.4577136514983353,0.41811512788315375,0.28400895299676704,0.14748438013811255,0.954274114408596,0.3225720949957592,0.21428571428571416,0.9231580397960468,0.6162361623616236,0.7543164897829874,0.7760115606936416,0.5771309172130556,0.0,0.015475815315057222,0.43237332918196997,32.0
Chengdu,1.0,0.283684794672586,0.7821690569030467,0.4262621238497887,0.007398881946728096,0.7295204220087929,0.3066687871077186,0.43928571428571417,0.5195415246163894,0.5055350553505535,0.959448756534136,0.9296531791907516,0.5825347647525038,0.16937277580071175,1.0,0.5881228466766916,2.0
Guiyang,0.8493150684931509,0.7893451720310766,1.0,0.6185028599850784,0.14140085498191385,0.8522083544420392,0.2748621713316371,0.3428571428571427,0.8718761421441454,0.8191881918819188,0.1899255504514494,0.8612716763005781,0.5800129692340947,0.08807829181494661,0.080811382376381,0.5019940355853442,10.0
Zunyi,0.5729250604351329,0.4996670366259712,0.3341814817262573,0.4730166625217609,0.0,0.8926130747620178,0.3278731976251061,0.4642857142857143,0.918258927947306,0.7453874538745388,0.9101853318549026,0.5323699421965316,0.4376395993947691,0.03414145907473309,0.07923733338194927,0.42590968032745896,36.0
Kunming,0.0,0.21465038845726966,0.9969268389399244,0.4769957721959712,0.1553765208812891,0.8796077500540264,0.6914228159457169,0.6285714285714286,0.9345679973956618,1.0,0.0,0.7153179190751446,0.5825347647525038,0.1699288256227758,0.08272595986061122,0.4452107790416304,29.0
Xi’an,0.8368251410153104,0.30344062153163154,0.7157491243143216,0.4372046754538672,0.17181848076290696,0.8880819360255643,0.6032124681933843,0.2499999999999999,0.7268899926703056,0.34317343173431736,0.879613495960716,0.7893063583815026,0.5355573168095685,0.0976423487544484,0.07783647860986245,0.45648938262822414,22.0
Lanzhou,0.4226430298146656,0.507214206437292,0.6486022073888044,0.587913454364586,0.052943110818809695,0.8801958415553958,0.38258057675996604,0.6642857142857141,0.7600793284641794,0.6199261992619927,0.9756058926025659,0.5234104046242776,0.0,0.07851423487544483,0.10575200150014846,0.42786972029703885,35.0
Urumqi,0.7405318291700242,0.5957824639289678,0.4917057696120547,0.6135289728923154,0.10637948043406782,0.8611891493575277,0.5399173027989823,0.19285714285714275,1.0,0.4538745387453874,0.8995723111040709,0.4791907514450867,0.5279198789538152,0.14535142348754448,0.12568170808569598,0.46902795245977374,19.0
